wn spectra line corrected
3.965295000000000073e+03 2.551713999999999927e-01 2.152311113037067292e-01 -8.603763502859598788e-02
3.964331000000000131e+03 2.551127000000000256e-01 2.151641429350476253e-01 -8.608273131926651167e-02
3.963367000000000189e+03 2.550567000000000251e-01 2.150971745663884660e-01 -8.612437631438375762e-02
3.962402000000000044e+03 2.550016999999999978e-01 2.150301367284672416e-01 -8.616469296417803014e-02
3.961438000000000102e+03 2.549458000000000002e-01 2.149631683598081378e-01 -8.620614882273142099e-02
3.960474000000000160e+03 2.548870999999999776e-01 2.148961999911490339e-01 -8.625112021178676924e-02
3.959509000000000015e+03 2.548232000000000275e-01 2.148291621532277540e-01 -8.630261667134393744e-02
3.958545000000000073e+03 2.547515000000000196e-01 2.147621937845686502e-01 -8.636399263680338834e-02
3.957581000000000131e+03 2.546702000000000132e-01 2.146952254159095463e-01 -8.643749766316041749e-02
3.956615999999999985e+03 2.545783999999999825e-01 2.146281875779883219e-01 -8.652424114976239866e-02
3.955652000000000044e+03 2.544761999999999857e-01 2.145612192093292181e-01 -8.662415764813014007e-02
3.954688000000000102e+03 2.543659999999999810e-01 2.144942508406700588e-01 -8.673417649436107602e-02
3.953722999999999956e+03 2.542515000000000192e-01 2.144272130027488343e-01 -8.684958019064639712e-02
3.952759000000000015e+03 2.541366999999999932e-01 2.143602446340897305e-01 -8.696536336985168092e-02
3.951795000000000073e+03 2.540253000000000094e-01 2.142932762654306267e-01 -8.707680856655113100e-02
3.950829999999999927e+03 2.539197999999999733e-01 2.142262384275094023e-01 -8.718071822052869679e-02
3.949865999999999985e+03 2.538204000000000016e-01 2.141592700588502429e-01 -8.727690060247200732e-02
3.948902000000000044e+03 2.537252999999999870e-01 2.140923016901911391e-01 -8.736760497582785057e-02
3.947936999999999898e+03 2.536334000000000088e-01 2.140252638522699147e-01 -8.745419378752404549e-02
3.946972999999999956e+03 2.535436999999999830e-01 2.139582954836107553e-01 -8.753799553739008421e-02
3.946009000000000015e+03 2.534577000000000080e-01 2.138913271149516515e-01 -8.761707929605630496e-02
3.945043999999999869e+03 2.533781999999999979e-01 2.138242892770304271e-01 -8.768786730024710763e-02
3.944079999999999927e+03 2.533083999999999891e-01 2.137573209083713233e-01 -8.774636812244225592e-02
3.943115999999999985e+03 2.532499999999999751e-01 2.136903525397122194e-01 -8.779039739696049838e-02
3.942150999999999840e+03 2.532020999999999855e-01 2.136233147017909950e-01 -8.782106403723451138e-02
3.941186999999999898e+03 2.531607000000000163e-01 2.135563463331318912e-01 -8.784349701876445482e-02
3.940222999999999956e+03 2.531199000000000088e-01 2.134893779644727319e-01 -8.786513876559864933e-02
3.939259000000000015e+03 2.530728999999999895e-01 2.134224095958136280e-01 -8.789460280813246595e-02
3.938293999999999869e+03 2.530144999999999755e-01 2.133553717578924036e-01 -8.793844472151264580e-02
3.937329999999999927e+03 2.529412999999999800e-01 2.132884033892332443e-01 -8.800103372298320736e-02
3.936365999999999985e+03 2.528527999999999887e-01 2.132214350205741404e-01 -8.808297195053579887e-02
3.935400999999999840e+03 2.527509000000000006e-01 2.131543971826529160e-01 -8.818182134304462794e-02
3.934436999999999898e+03 2.526394000000000140e-01 2.130874288139938122e-01 -8.829283110346546060e-02
3.933472999999999956e+03 2.525227999999999917e-01 2.130204604453346529e-01 -8.841026979437499600e-02
3.932507999999999811e+03 2.524051999999999962e-01 2.129534226074134284e-01 -8.852891252704231384e-02
3.931543999999999869e+03 2.522890999999999884e-01 2.128864542387543246e-01 -8.864565540312949188e-02
3.930579999999999927e+03 2.521745000000000236e-01 2.128194858700952208e-01 -8.876046701843891273e-02
3.929614999999999782e+03 2.520600000000000063e-01 2.127524480321739964e-01 -8.887508921311232379e-02
3.928650999999999840e+03 2.519438999999999984e-01 2.126854796635148925e-01 -8.899173840489214837e-02
3.927686999999999898e+03 2.518251000000000239e-01 2.126185112948557332e-01 -8.911177645760939847e-02
3.926722000000000207e+03 2.517038999999999804e-01 2.125514734569345643e-01 -8.923479173162369993e-02
3.925757999999999811e+03 2.515825999999999896e-01 2.124845050882754049e-01 -8.935793405645768572e-02
3.924793999999999869e+03 2.514634000000000036e-01 2.124175367196162456e-01 -8.947838510312622340e-02
3.923829000000000178e+03 2.513489999999999891e-01 2.123504988816950767e-01 -8.959269306525477483e-02
3.922864999999999782e+03 2.512414000000000036e-01 2.122835305130359174e-01 -8.969838797542575848e-02
3.921900999999999840e+03 2.511416000000000204e-01 2.122165621443768135e-01 -8.979417144224670355e-02
3.920936000000000149e+03 2.510508000000000184e-01 2.121495243064555891e-01 -8.987849160562995376e-02
3.919972000000000207e+03 2.509697000000000178e-01 2.120825559377964853e-01 -8.995052539686387849e-02
3.919007999999999811e+03 2.508987999999999774e-01 2.120155875691373260e-01 -9.000960767519652905e-02
3.918043000000000120e+03 2.508368999999999738e-01 2.119485497312161570e-01 -9.005722655290844536e-02
3.917079000000000178e+03 2.507805000000000173e-01 2.118815813625570532e-01 -9.009787927736875868e-02
3.916114999999999782e+03 2.507230999999999765e-01 2.118146129938978939e-01 -9.013976748016763740e-02
3.915150000000000091e+03 2.506565000000000043e-01 2.117475751559766695e-01 -9.019324604592754424e-02
3.914186000000000149e+03 2.505723999999999729e-01 2.116806067873175656e-01 -9.026889255548632696e-02
3.913222000000000207e+03 2.504643999999999759e-01 2.116136384186584063e-01 -9.037478187368627736e-02
3.912257000000000062e+03 2.503288000000000180e-01 2.115466005807371819e-01 -9.051556865755819303e-02
3.911293000000000120e+03 2.501649000000000234e-01 2.114796322120780780e-01 -9.069220379539318089e-02
3.910329000000000178e+03 2.499748999999999999e-01 2.114126638434189742e-01 -9.090186847229149436e-02
3.909364999999999782e+03 2.497634999999999994e-01 2.113456954747598149e-01 -9.113860921871498599e-02
3.908400000000000091e+03 2.495375999999999983e-01 2.112786576368385905e-01 -9.139365358827650221e-02
3.907436000000000149e+03 2.493057999999999941e-01 2.112116892681794866e-01 -9.165617245888744991e-02
3.906472000000000207e+03 2.490795000000000092e-01 2.111447208995203828e-01 -9.191169328613513212e-02
3.905507000000000062e+03 2.488712999999999897e-01 2.110776830615991584e-01 -9.214422336126515400e-02
3.904543000000000120e+03 2.486951000000000023e-01 2.110107146929400546e-01 -9.233622026962851059e-02
3.903579000000000178e+03 2.485621000000000080e-01 2.109437463242808952e-01 -9.247346470875904278e-02
3.902614000000000033e+03 2.484773999999999872e-01 2.108767084863596708e-01 -9.254946409006742369e-02
3.901650000000000091e+03 2.484358999999999873e-01 2.108097401177005670e-01 -9.257074341055231137e-02
3.900686000000000149e+03 2.484238000000000002e-01 2.107427717490414076e-01 -9.255475066172469401e-02
3.899721000000000004e+03 2.484220000000000039e-01 2.106757339111201832e-01 -9.252564719245562341e-02
3.898757000000000062e+03 2.484121999999999997e-01 2.106087655424610794e-01 -9.250667857664213178e-02
3.897793000000000120e+03 2.483814000000000022e-01 2.105417971738019756e-01 -9.251427935209510789e-02
3.896827999999999975e+03 2.483229999999999882e-01 2.104747593358807511e-01 -9.255677707492274142e-02
3.895864000000000033e+03 2.482359000000000093e-01 2.104077909672215918e-01 -9.263563034826943765e-02
3.894900000000000091e+03 2.481244999999999978e-01 2.103408225985624880e-01 -9.274523310851587321e-02
3.893934999999999945e+03 2.479966000000000115e-01 2.102737847606412636e-01 -9.287567239727879953e-02
3.892971000000000004e+03 2.478619999999999990e-01 2.102068163919821597e-01 -9.301460002952280370e-02
